date,open,high,low,close,volume
1/24/2019,36.7978,36.8861,36.2319,36.4611,101766196
1/25/2019,37.1249,37.7577,36.8479,37.6693,134191572
1/28/2019,37.1989,37.3279,36.6903,37.3207,104768232
1/29/2019,37.3088,37.7577,36.7978,36.9339,166348956
1/30/2019,38.9802,39.6726,38.2591,39.4577,244439120
1/31/2019,39.6631,40.3532,39.293,39.7419,162958596
2/1/2019,39.8661,40.3484,39.6201,39.761,130672552
2/4/2019,39.9735,40.9871,39.9425,40.8904,125982328
2/5/2019,41.2748,41.8049,41.1531,41.59,144406512
2/6/2019,41.7022,41.9219,41.2732,41.6043,112958364
2/7/2019,41.165,41.5327,40.6731,40.8164,126966760
2/8/2019,40.5236,40.9241,40.3869,40.8641,95279864
2/11/2019,41.0176,41.056,40.586,40.6291,83973700
2/12/2019,40.7898,41.0056,40.6939,40.9792,89134092
2/13/2019,41.0991,41.3605,40.7466,40.809,89960932
2/14/2019,40.6963,41.0683,40.6171,40.9577,87342988
2/15/2019,41.0656,41.1735,40.7059,40.8665,98507256
2/19/2019,40.6963,41.1111,40.6435,40.9888,75891304
2/20/2019,41.0512,41.5619,41.0032,41.2526,104457448
2/21/2019,41.1975,41.3341,40.8378,41.02,68998680
2/22/2019,41.1447,41.4852,41.0967,41.478,75652616
2/25/2019,41.7634,42.1734,41.713,41.7802,87493432
2/26/2019,41.6555,42.0368,41.5267,41.8041,68280844
2/27/2019,41.5356,41.9648,41.4205,41.9336,111341556
2/28/2019,41.8017,41.9432,41.466,41.5212,112861664
3/1/2019,41.7922,42.0008,41.4588,41.9576,103544668
3/4/2019,42.1303,42.6243,41.7178,42.1686,109744812
3/5/2019,42.1902,42.2046,41.8545,42.0919,78949676
3/6/2019,41.8857,42.0823,41.7106,41.8497,83241536
3/7/2019,41.6938,41.8305,41.2502,41.3653,99185496
3/8/2019,40.8426,41.502,40.6459,41.4636,95997432
3/11/2019,42.0823,42.9528,42.0487,42.9,128044136
3/12/2019,43.1638,43.8041,43.0127,43.382,129870336
3/13/2019,43.7034,43.9551,43.3844,43.5739,124130096
3/14/2019,44.099,44.147,43.7777,44.0583,94318032
3/15/2019,44.3268,44.9215,44.0607,44.6314,156171648
3/18/2019,44.5546,45.1757,44.5522,45.087,104879328
3/19/2019,45.1661,45.3196,44.5834,44.7297,126585476
3/20/2019,44.6578,45.4395,44.2981,45.1206,124140924
3/21/2019,45.5666,47.0797,45.5162,46.7824,204136948
3/22/2019,46.8423,47.4058,45.7488,45.8136,169630664
3/25/2019,45.9239,46.0366,44.7465,45.2596,175381172
3/26/2019,45.9608,46.2524,44.2621,44.792,199202152
3/27/2019,45.262,45.5042,44.7345,45.1949,119393708
3/28/2019,45.31,45.456,44.9695,45.2549,83121452
3/29/2019,45.521,45.581,45.2117,45.5498,94255844
4/1/2019,45.9551,45.9647,45.1733,45.8591,111447856
4/2/2019,45.8232,46.6313,45.8136,46.5258,91062928
4/3/2019,46.3411,47.1205,46.3172,46.8447,93087320
4/4/2019,46.7104,47.0893,46.3148,46.9263,76457100
4/5/2019,47.1085,47.2644,46.9838,47.2404,74106576
4/8/2019,47.1013,48.0149,47.0821,47.9838,103526788
4/9/2019,48.0365,48.6432,47.7751,47.8399,143072948
4/10/2019,47.6433,48.1372,47.5234,48.1085,86781152
4/11/2019,48.1636,48.1996,47.5864,47.708,83603232
4/12/2019,47.7679,47.9934,47.0509,47.6888,111042672
4/15/2019,47.6193,47.9238,47.4826,47.7751,70146584
4/16/2019,47.8303,48.2883,47.6145,47.7799,102785540
4/17/2019,47.8495,48.7703,47.6265,48.7104,115627120
4/18/2019,48.708,48.955,48.5641,48.8854,96783064
4/22/2019,48.6384,49.1444,48.5209,49.0461,77758180
4/23/2019,49.0221,49.8182,48.895,49.7535,93291964
4/24/2019,49.7247,49.9933,49.6504,49.6767,70162436
4/25/2019,49.5976,49.8206,49.1876,49.2259,74172824
4/26/2019,49.1348,49.1588,48.4682,48.9909,74596408
4/29/2019,49.0149,49.3914,48.8854,49.0653,88818864
4/30/2019,48.6936,48.7751,47.7464,48.1205,186139692
5/1/2019,50.329,51.6311,50.1731,50.4825,259309312
5/2/2019,50.3194,50.9932,49.9094,50.1539,127985296
5/3/2019,50.5712,50.799,50.4129,50.7774,83569512
5/6/2019,48.9885,50.0796,48.7991,49.9933,129772452
5/7/2019,49.3698,49.7385,48.1576,48.6456,155054792
5/8/2019,48.4154,49.2403,48.3794,48.6552,105358016
5/9/2019,48.0557,48.3626,47.1589,48.1324,139634428
5/10/2019,47.5257,47.8702,46.4066,47.4682,164834848
5/13/2019,45.1884,45.6145,44.0185,44.7094,229722492
5/14/2019,44.8755,45.6675,44.6347,45.4171,146118708
5/15/2019,44.8418,46.161,44.7816,45.9612,106178872
5/16/2019,45.7181,46.3341,45.4605,45.759,132125456
5/17/2019,45.0007,45.9564,44.9597,45.499,131516360
5/20/2019,44.1798,44.3793,43.4007,44.0762,154449160
5/21/2019,44.589,45.2582,44.4638,44.9212,113459392
5/22/2019,44.4542,44.707,43.9462,44.0016,118994224
5/23/2019,43.2842,43.4624,42.8052,43.2505,146118944
5/24/2019,43.3805,43.8475,43.0001,43.0844,94858744
5/28/2019,43.0724,43.4744,42.8292,42.9063,111792640
5/29/2019,42.4705,43.1759,42.3694,42.7016,113924660
5/30/2019,42.8389,43.147,42.5307,42.9231,84873648
5/31/2019,42.4248,42.8485,42.1263,42.1455,108174336
6/3/2019,42.2731,42.8316,40.99,41.7194,161584276
6/4/2019,42.2346,43.2914,42.0131,43.2457,123871844
6/5/2019,44.3627,44.5336,43.6068,43.9438,119093708
6/6/2019,44.0738,44.6492,43.8497,44.589,90105244
6/7/2019,44.8996,46.2019,44.7214,45.7758,122737572
6/10/2019,46.1754,47.0325,46.1297,46.3608,104883404
6/11/2019,46.9097,47.1841,46.6064,46.8977,107731528
6/12/2019,46.6906,47.1769,46.5546,46.7484,73012756
6/13/2019,46.8712,47.3743,46.6064,46.7388,86698500
6/14/2019,46.1117,46.6031,45.8119,46.3993,75045896
6/17/2019,46.4379,46.9338,46.2621,46.6762,58676576
6/18/2019,47.1962,48.2169,46.9939,47.7739,106204016
6/19/2019,48.07,48.1182,47.4995,47.6343,84496940
6/20/2019,48.2361,48.2939,47.6728,48.0171,86055952
6/21/2019,47.8582,48.3517,47.7017,47.8534,191202356
6/24/2019,47.7956,48.1856,47.7065,47.8052,72881684
6/25/2019,47.7691,47.9689,47.0132,47.0806,84281336
6/26/2019,47.6102,48.3854,47.5091,48.0989,104270048
6/27/2019,48.2169,48.525,48.0436,48.0845,83598868
